genome_id	genome_fasta	species	genome_type	is_unknown	notes
vpara_vp18	reference/v_parahaemolyticus_non_core/genomes/GCF_057321345.1_vp18_genomic.fna.gz	Vibrio parahaemolyticus	complete_genome	no	Vibrio parahaemolyticus strain vp18; Assembly GCF_057321345.1 vp18; Complete Genome with chromosome and plasmid records; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vpara_lvp2	reference/v_parahaemolyticus_non_core/genomes/GCF_013393865.1_ASM1339386v1_genomic.fna.gz	Vibrio parahaemolyticus	complete_two_chromosome	no	Vibrio parahaemolyticus strain LVP2; Assembly GCF_013393865.1 ASM1339386v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vpara_2012aw_0154	reference/v_parahaemolyticus_non_core/genomes/GCF_009665495.1_ASM966549v1_genomic.fna.gz	Vibrio parahaemolyticus	complete_two_chromosome	no	Vibrio parahaemolyticus strain 2012AW-0154; Assembly GCF_009665495.1 ASM966549v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
v_vulnificus	reference/v_vulnificus_ref.fasta	Vibrio vulnificus	complete_two_chromosome	no	Vibrio vulnificus NBRC 15645 = ATCC 27562; closed two-chromosome project anchor; indexed for BWA.
vv_7356	reference/v_vulnificus_non_mullis/genomes/GCF_046581405.1_NHRI_VV7356_1.0_genomic.fna.gz	Vibrio vulnificus	complete_genome	no	Vibrio vulnificus strain 7356; Assembly GCF_046581405.1 NHRI_VV7356_1.0; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vv_env1	reference/v_vulnificus_non_mullis/genomes/GCF_003047125.1_ASM304712v1_genomic.fna.gz	Vibrio vulnificus	complete_two_chromosome	no	Vibrio vulnificus strain Env1; Assembly GCF_003047125.1 ASM304712v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vv_2142_77	reference/v_vulnificus_non_mullis/genomes/GCF_009665475.1_ASM966547v1_genomic.fna.gz	Vibrio vulnificus	complete_two_chromosome	no	Vibrio vulnificus strain 2142-77; Assembly GCF_009665475.1 ASM966547v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14; taxonomy-check status Inconclusive.
vv_24_vb00699	reference/v_vulnificus_non_mullis/genomes/GCF_056820805.1_ASM5682080v1_genomic.fna.gz	Vibrio vulnificus	complete_two_chromosome	no	Vibrio vulnificus strain 24-VB00699; Assembly GCF_056820805.1 ASM5682080v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vcidicii_2423_01	reference/v_cidicii_non_mullis/genomes/GCF_009665415.1_ASM966541v1_genomic.fna.gz	Vibrio cidicii	complete_genome	no	Vibrio cidicii strain 2423-01; Assembly GCF_009665415.1 ASM966541v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vcidicii_vc01	reference/v_cidicii_non_mullis/genomes/GCF_051352415.1_ASM5135241v1_genomic.fna.gz	Vibrio cidicii	complete_two_chromosome	no	Vibrio cidicii strain VC01; Assembly GCF_051352415.1 ASM5135241v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vcidicii_2020rz130	reference/v_cidicii_non_mullis/genomes/GCF_043840705.1_ASM4384070v1_genomic.fna.gz	Vibrio cidicii	contig_assembly	no	Vibrio cidicii strain 2020RZ130; Assembly GCF_043840705.1 ASM4384070v1; Contig assembly; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vcidicii_pnusav005519	reference/v_cidicii_non_mullis/genomes/GCA_052253365.2_PDT002897843.3_genomic.fna.gz	Vibrio cidicii	contig_assembly_genbank_only	no	Vibrio cidicii strain PNUSAV005519; Assembly GCA_052253365.2 PDT002897843.3; Contig assembly; GenBank-only in NCBI ESummary; NCBI Assembly confirmed 2026-08-14.
vcidicii_2538_88	reference/v_cidicii_non_mullis/genomes/GCF_001597935.1_ASM159793v1_genomic.fna.gz	Vibrio cidicii	scaffold_assembly	no	Vibrio cidicii strain 2538-88; Assembly GCF_001597935.1 ASM159793v1; Scaffold assembly; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vnavarrensis_atcc_51183	reference/v_navarrensis_non_mullis/genomes/GCF_000764325.1_2540-90v1.0_genomic.fna.gz	Vibrio navarrensis	contig_assembly	no	Vibrio navarrensis strain ATCC 51183; Assembly GCF_000764325.1 2540-90v1.0; Contig assembly; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vnavarrensis_20_vb00237	reference/v_navarrensis_non_mullis/genomes/GCF_015767675.1_ASM1576767v1_genomic.fna.gz	Vibrio navarrensis	complete_genome	no	Vibrio navarrensis strain 20-VB00237; Assembly GCF_015767675.1 ASM1576767v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14; taxonomy-check status Inconclusive.
vnavarrensis_2462_79	reference/v_navarrensis_non_mullis/genomes/GCF_009763725.1_ASM976372v1_genomic.fna.gz	Vibrio navarrensis	complete_genome	no	Vibrio navarrensis strain 2462-79; Assembly GCF_009763725.1 ASM976372v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vnavarrensis_08_2462	reference/v_navarrensis_non_mullis/genomes/GCF_009665215.1_ASM966521v1_genomic.fna.gz	Vibrio navarrensis	complete_genome	no	Vibrio navarrensis strain 08-2462; Assembly GCF_009665215.1 ASM966521v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vnavarrensis_pnusav006652	reference/v_navarrensis_non_mullis/genomes/GCA_048162665.1_PDT002644466.1_genomic.fna.gz	Vibrio navarrensis	contig_assembly_genbank_only	no	Vibrio navarrensis strain PNUSAV006652; Assembly GCA_048162665.1 PDT002644466.1; Contig assembly; GenBank-only in NCBI ESummary; NCBI Assembly confirmed 2026-08-14.
mullis2019_18022	reference/expanded_vv/genomes/GCF_004215355.1_ASM421535v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18022; WGS RCGD00000000; Assembly GCF_004215355.1; Source: AransasBay,2007.
mullis2019_18023	reference/expanded_vv/genomes/GCF_004215325.1_ASM421532v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18023; WGS RCGC00000000; Assembly GCF_004215325.1; Source: BirdIsland,2007.
mullis2019_18024	reference/expanded_vv/genomes/GCF_004215335.1_ASM421533v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18024; WGS RCGB00000000; Assembly GCF_004215335.1; Source: Bayside,2007.
mullis2019_18025	reference/expanded_vv/genomes/GCF_004215315.1_ASM421531v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18025; WGS RCGA00000000; Assembly GCF_004215315.1; Source: Bayside,2007.
mullis2019_18026	reference/expanded_vv/genomes/GCF_004215295.1_ASM421529v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18026; WGS RCFZ00000000; Assembly GCF_004215295.1; Source: Bayside,2007.
mullis2019_18027	reference/expanded_vv/genomes/GCF_004215225.1_ASM421522v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18027; WGS RCFY00000000; Assembly GCF_004215225.1; Source: Bayside,2007.
mullis2019_18028	reference/expanded_vv/genomes/GCF_004215255.1_ASM421525v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18028; WGS RCFX00000000; Assembly GCF_004215255.1; Source: Bayside,2007.
mullis2019_18029	reference/expanded_vv/genomes/GCF_004215235.1_ASM421523v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18029; WGS RCFW00000000; Assembly GCF_004215235.1; Source: Bayside,2007.
mullis2019_18030	reference/expanded_vv/genomes/GCF_004215215.1_ASM421521v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18030; WGS RCFV00000000; Assembly GCF_004215215.1; Source: Bayside,2007.
mullis2019_18031	reference/expanded_vv/genomes/GCF_004215195.1_ASM421519v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18031; WGS RCFU00000000; Assembly GCF_004215195.1; Source: Bayside,2007.
mullis2019_18032	reference/expanded_vv/genomes/GCF_004215155.1_ASM421515v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18032; WGS RCFT00000000; Assembly GCF_004215155.1; Source: Bayside,2007.
mullis2019_18033	reference/expanded_vv/genomes/GCF_004214675.1_ASM421467v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18033; WGS RBZB00000000; Assembly GCF_004214675.1; Source: Bayside,2006.
mullis2019_18034	reference/expanded_vv/genomes/GCF_004214575.1_ASM421457v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18034; WGS RBZD00000000; Assembly GCF_004214575.1; Source: Bayside,2006.
mullis2019_18035	reference/expanded_vv/genomes/GCF_004214665.1_ASM421466v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18035; WGS RBZH00000000; Assembly GCF_004214665.1; Source: Bayside,2006.
mullis2019_18036	reference/expanded_vv/genomes/GCF_004214655.1_ASM421465v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18036; WGS RBZG00000000; Assembly GCF_004214655.1; Source: Bayside,2006.
mullis2019_18037	reference/expanded_vv/genomes/GCF_004214595.1_ASM421459v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18037; WGS RBZF00000000; Assembly GCF_004214595.1; Source: CopanoBay,2007.
mullis2019_18038	reference/expanded_vv/genomes/GCF_004214625.1_ASM421462v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18038; WGS RBZE00000000; Assembly GCF_004214625.1; Source: CopanoBay,2007.
mullis2019_18039	reference/expanded_vv/genomes/GCF_004214755.1_ASM421475v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18039; WGS RBZJ00000000; Assembly GCF_004214755.1; Source: CopanoBay,2007.
mullis2019_18040	reference/expanded_vv/genomes/GCF_004214695.1_ASM421469v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18040; WGS RBZK00000000; Assembly GCF_004214695.1; Source: CopanoBay,2007.
mullis2019_18041	reference/expanded_vv/genomes/GCF_004214765.1_ASM421476v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18041; WGS RBZL00000000; Assembly GCF_004214765.1; Source: CopanoBay,2007.
mullis2019_18042	reference/expanded_vv/genomes/GCF_004214565.1_ASM421456v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18042; WGS RBZC00000000; Assembly GCF_004214565.1; Source: CopanoBay,2007.
mullis2019_18043	reference/expanded_vv/genomes/GCF_004214715.1_ASM421471v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18043; WGS RBZI00000000; Assembly GCF_004214715.1; Source: CopanoBay,2007.
mullis2019_18044	reference/expanded_vv/genomes/GCF_004214555.1_ASM421455v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18044; WGS RPGM00000000; Assembly GCF_004214555.1; Source: CopanoBay,2007.
mullis2019_18045	reference/expanded_vv/genomes/GCF_004214465.1_ASM421446v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18045; WGS RHHD00000000; Assembly GCF_004214465.1; Source: CopanoBay,2007.
mullis2019_18047	reference/expanded_vv/genomes/GCF_004214455.1_ASM421445v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18047; WGS RHHE00000000; Assembly GCF_004214455.1; Source: CopanoBay,2007.
mullis2019_18048	reference/expanded_vv/genomes/GCF_004214525.1_ASM421452v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18048; WGS RHHF00000000; Assembly GCF_004214525.1; Source: CopanoBay,2007.
mullis2019_18049	reference/expanded_vv/genomes/GCF_004214355.1_ASM421435v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18049; WGS RHHG00000000; Assembly GCF_004214355.1; Source: CopanoBay,2007.
mullis2019_18050	reference/expanded_vv/genomes/GCF_004214385.1_ASM421438v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18050; WGS RHHH00000000; Assembly GCF_004214385.1; Source: CopanoBay,2007.
mullis2019_18051	reference/expanded_vv/genomes/GCF_004214475.1_ASM421447v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18051; WGS RHHI00000000; Assembly GCF_004214475.1; Source: CopanoBay,2007.
mullis2019_18052	reference/expanded_vv/genomes/GCF_004214395.1_ASM421439v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18052; WGS RHHJ00000000; Assembly GCF_004214395.1; Source: CopanoBay,2007.
mullis2019_18053	reference/expanded_vv/genomes/GCF_004214375.1_ASM421437v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18053; WGS RPGN00000000; Assembly GCF_004214375.1; Source: CopanoBay,2007.
mullis2019_18054	reference/expanded_vv/genomes/GCF_004214365.1_ASM421436v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18054; WGS RHHK00000000; Assembly GCF_004214365.1; Source: CopanoBay,2006.
mullis2019_18055	reference/expanded_vv/genomes/GCF_004214495.1_ASM421449v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18055; WGS RHHL00000000; Assembly GCF_004214495.1; Source: CopanoBay,2006.
mullis2019_18056	reference/expanded_vv/genomes/GCF_004215005.1_ASM421500v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18056; WGS RBWJ00000000; Assembly GCF_004215005.1; Source: CopanoBay,2007.
mullis2019_18057	reference/expanded_vv/genomes/GCF_004215045.1_ASM421504v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18057; WGS RBWK00000000; Assembly GCF_004215045.1; Source: ColePark,2007.
mullis2019_18058	reference/expanded_vv/genomes/GCF_004215035.1_ASM421503v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18058; WGS RBWL00000000; Assembly GCF_004215035.1; Source: ColePark,2006.
mullis2019_18059	reference/expanded_vv/genomes/GCF_004214995.1_ASM421499v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18059; WGS RBWM00000000; Assembly GCF_004214995.1; Source: ColePark,2006.
mullis2019_18060	reference/expanded_vv/genomes/GCF_004215015.1_ASM421501v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18060; WGS RBWN00000000; Assembly GCF_004215015.1; Source: NuecesBay,2007.
mullis2019_18061	reference/expanded_vv/genomes/GCF_004215095.1_ASM421509v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18061; WGS RBWO00000000; Assembly GCF_004215095.1; Source: NuecesBay,2007.
mullis2019_18062	reference/expanded_vv/genomes/GCF_004215105.1_ASM421510v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18062; WGS RBWP00000000; Assembly GCF_004215105.1; Source: NuecesBay,2007.
mullis2019_18063	reference/expanded_vv/genomes/GCF_004215135.1_ASM421513v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18063; WGS RBWQ00000000; Assembly GCF_004215135.1; Source: RedfishBay,2007.
mullis2019_18064	reference/expanded_vv/genomes/GCF_004215145.1_ASM421514v1_genomic.fna.gz	Vibrio vulnificus	mullis2019_draft_genome	no	Vibrio vulnificus Mullis et al. 2019 isolate 18064; WGS RBWR00000000; Assembly GCF_004215145.1; Source: RedfishBay,2006.
Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7	assembly/assemblies/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7/contigs.fasta	unknown	query_genome	yes	
Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7	assembly/assemblies/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7/contigs.fasta	unknown	query_genome	yes	
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	assembly/assemblies/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7/contigs.fasta	unknown	query_genome	yes	
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	assembly/assemblies/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7/contigs.fasta	unknown	query_genome	yes	
Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7	assembly/assemblies/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7/contigs.fasta	unknown	query_genome	yes	
Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7	assembly/assemblies/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7/contigs.fasta	unknown	query_genome	yes	
