contig_id	gc_fraction	gc_percent	coverage	coverage_log10	length_bp	kraken_status	taxon_label	kraken_length	taxid	broad_taxon
NODE_59_length_24682_cov_2072.360008	0.4373	43.73	4283.5853	3.63190879343838	24682	C	Bacillus paralicheniformis (taxid 1648923)	24682	1648923	Bacillus
NODE_60_length_24656_cov_85.111884	0.6798	67.98	185.7551	2.2712724705764	24656	C	Reyranella sp. (taxid 1929291)	24656	1929291	Reyranella
NODE_61_length_24443_cov_2726.817451	0.4435	44.35	5636.9895	3.75112426272106	24443	C	Bacillus paralicheniformis (taxid 1648923)	24443	1648923	Bacillus
NODE_62_length_24332_cov_102.583921	0.617	61.7	217.2444	2.33894310882526	24332	C	Reyranella sp. (taxid 1929291)	24332	1929291	Reyranella
NODE_63_length_23967_cov_84.010925	0.6673	66.73	182.7133	2.2641405983718	23967	C	Reyranella sp. (taxid 1929291)	23967	1929291	Reyranella
NODE_64_length_23838_cov_6297.346871	0.4708	47.08	7836.3625	3.8941699345705	23838	C	Bacillus paralicheniformis (taxid 1648923)	23838	1648923	Bacillus
NODE_65_length_23825_cov_3814.700691	0.4609	46.09	7316.9926	3.86439196598951	23825	C	Bacillus paralicheniformis (taxid 1648923)	23825	1648923	Bacillus
NODE_66_length_23798_cov_2207.691666	0.4553	45.53	4561.3385	3.65918750435763	23798	C	Bacillus paralicheniformis (taxid 1648923)	23798	1648923	Bacillus
NODE_67_length_23726_cov_5155.060214	0.4844	48.44	7755.3366	3.88965664779587	23726	C	Bacillus paralicheniformis (taxid 1648923)	23726	1648923	Bacillus
NODE_68_length_23658_cov_4333.037021	0.4648	46.48	7603.625	3.88107780294574	23658	C	Bacillus paralicheniformis (taxid 1648923)	23658	1648923	Bacillus
NODE_69_length_23632_cov_4238.659011	0.4565	45.65	7534.5146	3.87711291561671	23632	C	Bacillus paralicheniformis (taxid 1648923)	23632	1648923	Bacillus
NODE_70_length_23519_cov_86.891093	0.6584	65.84	187.1382	2.27447698462456	23519	C	Reyranella sp. (taxid 1929291)	23519	1929291	Reyranella
NODE_71_length_23448_cov_4869.219118	0.4783	47.83	7720.4618	3.88769952722381	23448	C	Bacillus paralicheniformis (taxid 1648923)	23448	1648923	Bacillus
NODE_72_length_23405_cov_3743.734611	0.4402	44.02	7245.7694	3.86014444182043	23405	C	Bacillus paralicheniformis (taxid 1648923)	23405	1648923	Bacillus
NODE_73_length_22756_cov_3.057542	0.4789	47.89	7.7801	0.943499462284334	22756	C	Vibrio vulnificus MO6-24/O (taxid 914127)	22756	914127	Vibrio
NODE_74_length_22267_cov_78.697026	0.6723	67.23	168.7093	2.22970564212919	22267	C	Reyranella sp. (taxid 1929291)	22267	1929291	Reyranella
NODE_75_length_22219_cov_90.678575	0.6602	66.02	200.6283	2.30455148844444	22219	C	Reyranella sp. (taxid 1929291)	22219	1929291	Reyranella
NODE_76_length_22189_cov_2652.642864	0.4636	46.36	5478.908	3.73877326734792	22189	C	Bacillus paralicheniformis (taxid 1648923)	22189	1648923	Bacillus
NODE_77_length_22050_cov_5915.110636	0.4383	43.83	7820.4635	3.89328802294564	22050	C	Bacillus paralicheniformis (taxid 1648923)	22050	1648923	Bacillus
NODE_78_length_21867_cov_3580.595181	0.4537	45.37	7080.9357	3.85015197928993	21867	C	Bacillus paralicheniformis (taxid 1648923)	21867	1648923	Bacillus
NODE_79_length_21799_cov_3670.578170	0.4707	47.07	7193.5764	3.85700522877183	21799	C	Bacillus paralicheniformis (taxid 1648923)	21799	1648923	Bacillus
NODE_80_length_21418_cov_3252.021320	0.4641	46.41	6645.7467	3.82260912861793	21418	C	Bacillus paralicheniformis (taxid 1648923)	21418	1648923	Bacillus
NODE_81_length_21352_cov_2339.214759	0.4776	47.76	4831.8487	3.68420319907357	21352	C	Bacillus paralicheniformis (taxid 1648923)	21352	1648923	Bacillus
NODE_82_length_21233_cov_79.902439	0.6725	67.25	175.0438	2.2456207344718	21233	C	Reyranella sp. (taxid 1929291)	21233	1929291	Reyranella
NODE_83_length_21167_cov_89.207634	0.6717	67.17	189.766	2.28050097346991	21167	C	Reyranella sp. (taxid 1929291)	21167	1929291	Reyranella
NODE_84_length_20799_cov_85.224882	0.669	66.9	182.585	2.26383719384041	20799	C	Reyranella sp. (taxid 1929291)	20799	1929291	Reyranella
NODE_85_length_20467_cov_88.194899	0.6668	66.68	193.1147	2.2880584250697	20467	C	Reyranella sp. (taxid 1929291)	20467	1929291	Reyranella
NODE_86_length_20387_cov_5629.706696	0.4626	46.26	7796.6468	3.89196355961768	20387	C	Bacillus paralicheniformis (taxid 1648923)	20387	1648923	Bacillus
NODE_87_length_20170_cov_95.938586	0.6677	66.77	203.0377	2.30971041933406	20170	C	Reyranella sp. (taxid 1929291)	20170	1929291	Reyranella
NODE_88_length_19794_cov_84.376984	0.6679	66.79	178.7791	2.25473920195642	19794	C	Reyranella sp. (taxid 1929291)	19794	1929291	Reyranella
NODE_89_length_19589_cov_6208.483651	0.4533	45.33	7825.0181	3.89354084800129	19589	C	Bacillus paralicheniformis (taxid 1648923)	19589	1648923	Bacillus
NODE_90_length_19382_cov_111.852370	0.6682	66.82	234.4939	2.37197966207786	19382	C	Reyranella sp. (taxid 1929291)	19382	1929291	Reyranella
NODE_91_length_19225_cov_95.078442	0.6559	65.59	201.0283	2.30541220941183	19225	C	Reyranella sp. (taxid 1929291)	19225	1929291	Reyranella
NODE_92_length_19216_cov_6216.462563	0.4453	44.53	7818.8454	3.89319816705082	19216	C	Bacillus paralicheniformis (taxid 1648923)	19216	1648923	Bacillus
NODE_93_length_19155_cov_5297.473897	0.4574	45.74	7765.8732	3.89024621503096	19155	C	Bacillus paralicheniformis (taxid 1648923)	19155	1648923	Bacillus
NODE_94_length_19082_cov_86.820100	0.6719	67.19	188.984	2.27871702724596	19082	C	Reyranella sp. (taxid 1929291)	19082	1929291	Reyranella
NODE_95_length_18974_cov_73.893846	0.6714	67.14	164.5684	2.2189774519224	18974	C	Reyranella sp. (taxid 1929291)	18974	1929291	Reyranella
NODE_96_length_18903_cov_3356.148571	0.4427	44.27	6767.6105	3.83049952332053	18903	C	Bacillus paralicheniformis (taxid 1648923)	18903	1648923	Bacillus
NODE_97_length_18521_cov_5417.446649	0.4587	45.87	7794.9233	3.891867557671	18521	C	Bacillus paralicheniformis (taxid 1648923)	18521	1648923	Bacillus
NODE_98_length_18480_cov_4917.929359	0.4734	47.34	7727.6678	3.88810464049399	18480	C	Bacillus paralicheniformis (taxid 1648923)	18480	1648923	Bacillus
NODE_99_length_18313_cov_5891.966879	0.4451	44.51	7806.9806	3.8925387255957	18313	C	Bacillus paralicheniformis (taxid 1648923)	18313	1648923	Bacillus
NODE_100_length_18102_cov_89.553897	0.6587	65.87	190.619	2.28243856938787	18102	C	Reyranella sp. (taxid 1929291)	18102	1929291	Reyranella
NODE_101_length_17957_cov_99.429530	0.6681	66.81	211.8113	2.32799468470079	17957	C	Reyranella sp. (taxid 1929291)	17957	1929291	Reyranella
NODE_102_length_17723_cov_3791.797235	0.4437	44.37	7312.7149	3.86413802685654	17723	C	Bacillus paralicheniformis (taxid 1648923)	17723	1648923	Bacillus
NODE_103_length_17341_cov_87.821884	0.6755	67.55	188.3387	2.27723939092457	17341	C	Reyranella sp. (taxid 1929291)	17341	1929291	Reyranella
NODE_104_length_17298_cov_95.494164	0.6019	60.19	201.7146	2.30688502876747	17298	C	Bradyrhizobium canariense (taxid 255045)	17298	255045	Other classified
NODE_105_length_17209_cov_4734.034030	0.4426	44.26	7675.8252	3.88518165190817	17209	C	Bacillus paralicheniformis (taxid 1648923)	17209	1648923	Bacillus
NODE_106_length_17166_cov_5149.173796	0.4568	45.68	7730.0257	3.88823711698414	17166	C	Bacillus paralicheniformis (taxid 1648923)	17166	1648923	Bacillus
NODE_107_length_17140_cov_79.675555	0.659	65.9	172.9052	2.24031256818754	17140	C	Reyranella sp. (taxid 1929291)	17140	1929291	Reyranella
NODE_108_length_17013_cov_4575.237541	0.427	42.7	7633.2033	3.88276372109547	17013	C	Bacillus paralicheniformis (taxid 1648923)	17013	1648923	Bacillus
NODE_109_length_16990_cov_82.293679	0.6483	64.83	174.3427	2.24388768971731	16990	C	Bradyrhizobium brasilense (taxid 1419277)	16990	1419277	Other classified
NODE_110_length_16980_cov_78.449269	0.6645	66.45	180.8022	2.25959913434293	16980	C	Reyranella sp. (taxid 1929291)	16980	1929291	Reyranella
NODE_111_length_16832_cov_82.211937	0.6589	65.89	176.8262	2.24999574806928	16832	C	Reyranella sp. (taxid 1929291)	16832	1929291	Reyranella
NODE_112_length_16797_cov_2.813337	0.4455	44.55	6.4997	0.875043891264979	16797	C	Vibrio vulnificus Env1 (taxid 1246305)	16797	1246305	Vibrio
NODE_113_length_16793_cov_6291.534578	0.4733	47.33	7822.4857	3.89340029308407	16793	C	Bacillus paralicheniformis (taxid 1648923)	16793	1648923	Bacillus
NODE_114_length_16788_cov_87.382802	0.6588	65.88	187.8679	2.27615815147665	16788	C	Reyranella sp. (taxid 1929291)	16788	1929291	Reyranella
NODE_115_length_16748_cov_2272.914402	0.4765	47.65	4691.0146	3.67135935482661	16748	C	Bacillus paralicheniformis (taxid 1648923)	16748	1648923	Bacillus
NODE_116_length_16697_cov_91.154994	0.635	63.5	199.6442	2.3024266101481	16697	C	Bradyrhizobium genosp. A (taxid 83626)	16697	83626	Other classified
NODE_117_length_16679_cov_79.591375	0.6671	66.71	174.5469	2.24439316462005	16679	C	Bradyrhizobium sp. McL0615 (taxid 3415673)	16679	3415673	Other classified
NODE_118_length_16588_cov_95.525286	0.6756	67.56	210.2537	2.32480432413302	16588	C	Reyranella sp. (taxid 1929291)	16588	1929291	Reyranella
NODE_119_length_16571_cov_86.808233	0.6645	66.45	189.9687	2.28096219169165	16571	C	Reyranella sp. (taxid 1929291)	16571	1929291	Reyranella
NODE_120_length_16509_cov_87.507851	0.6461	64.61	191.4268	2.28426555773073	16509	C	Reyranella sp. (taxid 1929291)	16509	1929291	Reyranella
NODE_121_length_16497_cov_75.417357	0.666	66.6	169.3265	2.23128222229281	16497	C	Reyranella sp. (taxid 1929291)	16497	1929291	Reyranella
NODE_122_length_16394_cov_93.840044	0.6686	66.86	197.5984	2.29797574529748	16394	C	Reyranella sp. (taxid 1929291)	16394	1929291	Reyranella
NODE_123_length_16325_cov_91.699840	0.6643	66.43	199.1801	2.30142090186582	16325	C	Reyranella sp. (taxid 1929291)	16325	1929291	Reyranella
NODE_124_length_16271_cov_2476.655984	0.4723	47.23	5116.02	3.70901711442622	16271	C	Bacillus paralicheniformis (taxid 1648923)	16271	1648923	Bacillus
NODE_125_length_16254_cov_6077.198492	0.4541	45.41	7821.5566	3.89334871416131	16254	C	Bacillus paralicheniformis (taxid 1648923)	16254	1648923	Bacillus
NODE_126_length_16194_cov_97.933735	0.6756	67.56	217.2765	2.33900698138162	16194	C	Reyranella sp. (taxid 1929291)	16194	1929291	Reyranella
NODE_127_length_15738_cov_97.700658	0.4962	49.62	202.4928	2.30854904758784	15738	C	Bacillus paranthracis (taxid 2026186)	15738	2026186	Bacillus
NODE_128_length_15718_cov_84.309891	0.6634	66.34	184.9593	2.26941790271481	15718	C	Bradyrhizobium sp. STM 3557 (taxid 578920)	15718	578920	Other classified
NODE_129_length_15690_cov_97.881509	0.6514	65.14	206.8416	2.31773247701464	15690	C	Reyranella sp. (taxid 1929291)	15690	1929291	Reyranella
NODE_130_length_15623_cov_3311.203010	0.4618	46.18	6744.1434	3.82899118709416	15623	C	Bacillus paralicheniformis (taxid 1648923)	15623	1648923	Bacillus
NODE_131_length_15457_cov_3227.954421	0.4668	46.68	6387.4241	3.80539373936626	15457	C	Bacillus paralicheniformis (taxid 1648923)	15457	1648923	Bacillus
NODE_132_length_15388_cov_4802.138724	0.4882	48.82	7701.9985	3.88665981329132	15388	C	Bacillus paralicheniformis (taxid 1648923)	15388	1648923	Bacillus
NODE_133_length_15335_cov_82.658867	0.653	65.3	178.707	2.25456499420504	15335	C	Reyranella sp. (taxid 1929291)	15335	1929291	Reyranella
NODE_134_length_15216_cov_5371.971464	0.4167	41.67	7774.6673	3.89073767001682	15216	C	Bacillus paralicheniformis (taxid 1648923)	15216	1648923	Bacillus
NODE_135_length_15192_cov_92.234668	0.6721	67.21	204.6467	2.31312174480416	15192	C	Reyranella sp. (taxid 1929291)	15192	1929291	Reyranella
NODE_136_length_15188_cov_5503.179075	0.4721	47.21	7771.8432	3.89057990685876	15188	C	Bacillus paralicheniformis (taxid 1648923)	15188	1648923	Bacillus
NODE_137_length_15185_cov_90.675933	0.6711	67.11	196.8146	2.29625834219259	15185	C	Reyranella sp. (taxid 1929291)	15185	1929291	Reyranella
NODE_138_length_15143_cov_74.304062	0.6693	66.93	162.4718	2.21344284469855	15143	C	Reyranella sp. (taxid 1929291)	15143	1929291	Reyranella
NODE_139_length_15085_cov_2126.021322	0.432	43.2	4381.6354	3.64173534235043	15085	C	Bacillus paralicheniformis (taxid 1648923)	15085	1648923	Bacillus
NODE_140_length_15044_cov_81.930247	0.6647	66.47	176.4919	2.24917853843015	15044	C	Reyranella sp. (taxid 1929291)	15044	1929291	Reyranella
NODE_141_length_14986_cov_6231.988329	0.4534	45.34	7830.8455	3.8938641114867	14986	C	Bacillus paralicheniformis (taxid 1648923)	14986	1648923	Bacillus
NODE_142_length_14974_cov_105.664026	0.6258	62.58	223.5403	2.35129429855498	14974	C	Reyranella sp. (taxid 1929291)	14974	1929291	Reyranella
NODE_143_length_14930_cov_80.519962	0.6807	68.07	173.3344	2.24138309139061	14930	C	Enhydrobacter sp. (taxid 1894999)	14930	1894999	Other classified
NODE_144_length_14890_cov_85.714913	0.667	66.7	194.6981	2.29158660918625	14890	C	Reyranella sp. (taxid 1929291)	14890	1929291	Reyranella
NODE_145_length_14786_cov_80.257393	0.6688	66.88	178.6423	2.25440860679434	14786	C	Reyranella sp. (taxid 1929291)	14786	1929291	Reyranella
NODE_146_length_14752_cov_87.885247	0.6664	66.64	186.2595	2.27244385944452	14752	C	Reyranella sp. (taxid 1929291)	14752	1929291	Reyranella
NODE_147_length_14737_cov_106.095293	0.6653	66.53	223.0301	2.35030637273457	14737	C	Reyranella sp. (taxid 1929291)	14737	1929291	Reyranella
NODE_148_length_14665_cov_6279.198656	0.4081	40.81	7826.1346	3.89360280226688	14665	C	Bacillus paralicheniformis (taxid 1648923)	14665	1648923	Bacillus
NODE_149_length_14517_cov_84.911011	0.6813	68.13	188.6375	2.27792422136026	14517	C	Reyranella sp. (taxid 1929291)	14517	1929291	Reyranella
NODE_150_length_14506_cov_86.744958	0.6533	65.33	186.679	2.27341568074951	14506	C	Reyranella sp. (taxid 1929291)	14506	1929291	Reyranella
NODE_151_length_14501_cov_73.895799	0.6627	66.27	158.1556	2.20182192417795	14501	C	Reyranella sp. (taxid 1929291)	14501	1929291	Reyranella
NODE_152_length_14458_cov_91.153397	0.6724	67.24	191.8418	2.28520117656755	14458	C	Reyranella sp. (taxid 1929291)	14458	1929291	Reyranella
NODE_153_length_14428_cov_94.276009	0.6666	66.66	200.6916	2.30468781120427	14428	C	Reyranella sp. (taxid 1929291)	14428	1929291	Reyranella
NODE_154_length_14395_cov_2848.366182	0.4435	44.35	5867.0251	3.76849196283453	14395	C	Bacillus paralicheniformis (taxid 1648923)	14395	1648923	Bacillus
NODE_155_length_14366_cov_4821.879488	0.4637	46.37	7687.3077	3.88583075626012	14366	C	Bacillus paralicheniformis (taxid 1648923)	14366	1648923	Bacillus
NODE_156_length_14196_cov_99.037467	0.6642	66.42	213.3805	2.33118527949301	14196	C	Reyranella sp. (taxid 1929291)	14196	1929291	Reyranella
NODE_157_length_14152_cov_87.923979	0.6632	66.32	190.8688	2.28300435936567	14152	C	Reyranella sp. (taxid 1929291)	14152	1929291	Reyranella
NODE_158_length_14133_cov_95.063745	0.669	66.9	216.9758	2.33840828025665	14133	C	Reyranella sp. (taxid 1929291)	14133	1929291	Reyranella
NODE_159_length_14087_cov_87.378658	0.6773	67.73	185.9925	2.27182418795931	14087	C	Reyranella sp. (taxid 1929291)	14087	1929291	Reyranella
NODE_160_length_14076_cov_88.529181	0.675	67.5	192.3793	2.28640998382706	14076	C	Reyranella sp. (taxid 1929291)	14076	1929291	Reyranella
NODE_161_length_14067_cov_101.561115	0.6689	66.89	223.2295	2.35069274851059	14067	C	Reyranella sp. (taxid 1929291)	14067	1929291	Reyranella
NODE_162_length_14046_cov_4663.400243	0.4472	44.72	7617.4212	3.88186497984751	14046	C	Bacillus paralicheniformis (taxid 1648923)	14046	1648923	Bacillus
NODE_163_length_14030_cov_92.280441	0.6702	67.02	201.3553	2.30611458372442	14030	C	Reyranella sp. (taxid 1929291)	14030	1929291	Reyranella
NODE_164_length_13930_cov_70.833827	0.6765	67.65	152.7547	2.18682840023846	13930	C	Reyranella sp. (taxid 1929291)	13930	1929291	Reyranella
NODE_165_length_13899_cov_80.470337	0.6686	66.86	174.5261	2.24434170338416	13899	C	Reyranella sp. (taxid 1929291)	13899	1929291	Reyranella
NODE_166_length_13866_cov_84.676626	0.6429	64.29	181.0458	2.26018066372662	13866	C	Reyranella sp. (taxid 1929291)	13866	1929291	Reyranella
NODE_167_length_13863_cov_2714.699550	0.3956	39.56	5588.2939	3.74735694658001	13863	C	Bacillus paralicheniformis (taxid 1648923)	13863	1648923	Bacillus
NODE_168_length_13858_cov_90.478195	0.6725	67.25	191.7913	2.2850874318114	13858	C	Reyranella sp. (taxid 1929291)	13858	1929291	Reyranella
NODE_169_length_13796_cov_5039.968438	0.4716	47.16	7721.9836	3.88778511260128	13796	C	Bacillus paralicheniformis (taxid 1648923)	13796	1648923	Bacillus
NODE_170_length_13791_cov_84.220286	0.6656	66.56	179.034	2.25535453075882	13791	C	Reyranella sp. (taxid 1929291)	13791	1929291	Reyranella
NODE_171_length_13787_cov_2.531072	0.4728	47.28	6.2181	0.858422894507549	13787	C	Vibrio vulnificus (taxid 672)	13787	672	Vibrio
NODE_172_length_13777_cov_85.747007	0.6733	67.33	185.4894	2.27065415168177	13777	C	Reyranella sp. (taxid 1929291)	13777	1929291	Reyranella
